250  13  19  21  21
500  14  20  21  21
750  15  19  21  21
1000  15  19  21  21
1250  14  20  24  24
1500  14  22  27  27
1750  14  24  29  29
2000  15  27  32  32
2250  15  37  35  35
2500  15  37  38  38
2750  14  37  41  40
3000  15  37  44  44
3250  14  41  46  46
3500  15  40  50  49
3750  14  43  52  52
4000  14  46  56  55
4250  14  49  59  58
4500  15  50  62  62
4750  14  54  64  64
5000  15  58  67  67
5250  14  58  70  69
5500  15  62  74  73
5750  14  62  76  76
6000  15  67  79  79
6250  14  68  82  81
6500  14  73  85  85
6750  14  80  87  87
7000  15  82  91  90
7250  14  84  93  93
7500  16  90  97  96
7750  14  98  99  99
8000  15  100  102  102
8250  14  101  104  104
8500  15  101  108  107
8750  14  102  111  111
9000  15  103  114  114
9250  14  110  117  116
9500  15  119  120  120
9750  13  121  122  122
10000  15 122  125  125
