
0  2.0000  5.0000  1.0000  2.0000
0.04  2.0900  5.0500  1.0500  2.0500
0.08  2.1600  5.0800  1.0800  2.0800
0.12  2.2900  5.1300  1.1300  2.1300
0.16  2.4100  5.2100  1.2323  2.2200
0.20  2.4900  5.3000  1.2900  2.3900
0.24  2.5400  5.3600  1.2900  2.4900
0.28  2.6400  5.5959  1.3200  2.5200
0.32  2.7181  5.6800  1.4343  2.7200
0.36  2.8300  5.7400  1.5151  2.9100
0.40  2.9300  5.8800  1.5500  3.0500
