
1000  1.0400  1.0800  1.0410  1.0410
1250  1.2900  1.2900  1.2910  1.2910
1500  1.5400  1.5400  1.5410  1.5410
1750  1.7900  1.7900  1.7910  1.7910
2000  2.0400  2.0400  2.0410  2.0410
2250  2.2900  3.0400  2.2910  2.2910
2500  2.5400  3.0400  2.5410  2.5410
2750  2.7900  3.0400  2.7910  2.7910
3000  3.0400  3.0400  3.0410  3.0410
3250  3.2900  3.2900  3.2910  3.2910
3500  3.5400  3.5400  3.5410  3.5410
3750  3.7900  3.7900  3.7910  3.7910
4000  4.0400  4.0400  4.0410  4.0410
4250  4.2900  4.2900  4.2910  4.2910
4500  4.5400  4.5400  4.5410  4.5410
4750  4.7900  4.7900  4.7910  4.7910
5000  5.0400  5.0400  5.0410  5.0410
5250  5.2900  5.2900  5.2910  5.2910
5500  5.5400  5.5400  5.5410  5.5410
5750  5.7900  5.7900  5.7910  5.7910
6000  6.0400  6.0400  6.0410  6.0410
6250  6.2900  6.2900  6.2910  6.2910
6500  6.5400  6.5400  6.5410  6.5410
6750  6.7900  6.7900  6.7910  6.7910
7000  7.0400  7.0400  7.0410  7.0410
7250  7.2900  7.2900  7.2910  7.2910
7500  7.5400  7.5400  7.5410  7.5410
7750  7.7900  7.7900  7.7910  7.7910
8000  8.0400  8.0400  8.0410  8.0410
8250  8.2900  8.2900  8.2910  8.2910
8500  8.5400  8.5400  8.5410  8.5410
8750  8.7900  8.7900  8.7910  8.7910
9000  9.0400  9.0400  9.0410  9.0410
9250  9.2900  9.2900  9.2910  9.2910
9500  9.5400  9.5400  9.5410  9.5410
9750  9.7900  9.7900  9.7910  9.7910
10000  10.0400  10.0400  10.0410  10.0410
