
0  7  46  55  55
0.04  11  52  63  63
0.08  12  55  67  67
0.12  13  58  72  72
0.16  14  60  76  76
0.20  14  63  82  81
0.24  15  64  86  85
0.28  15  68  92  91
0.32  16  69  102  102
0.36  16  73  106  106
0.40  17  79  115  115
