
1000  2.1000  2.1000  1.2000  2.4000
1250  2.0000  2.2000  1.2000  2.2500
1500  2.1000  2.1000  1.1000  2.3900
1750  2.0000  2.1000  1.1900  2.4500
2000  2.1200  2.2000  1.1400  2.4200
2250  2.1000  3.0000  1.1200  2.4200
2500  2.1300  3.1000  1.1900  2.2100
2750  2.1400  3.1000  1.1800  2.4500
3000  2.0000  3.1000  1.1800  2.3200
3250  2.1000  3.2000  1.2000  2.2100
3500  2.1200  3.0000  1.1100  2.2100
3750  2.1000  3.2000  1.100  2.1100
4000  2.1300  4.0000  1.1400  2.4200
4250  2.0000  4.4000  1.2100  2.2400
4500  2.1000  4.1000  1.2200  2.4000
4750  2.1200  4.0000  1.1900  2.3800
5000  2.1400  5.5000  1.1300  2.2300
5250  2.1200  5.0000  1.1400  2.3000
5500  2.1300  5.1000  1.1900  2.2400
5750  2.1500  5.2000  1.200  2.1900
6000  2.1200  6.1000  1.2100  2.3200
6250  2.1600  6.5000  1.2300  2.4100
6500  2.1300  6.2000  1.0100  2.3900
6750  2.1300  6.2000  1.1200  2.2900
7000  2.1500  7.1000  1.1300  2.3100
7250  2.1200  7.3000  1.1500  2.2900
7500  2.1600  7.3000  1.1200  2.2100
7750  2.1100  7.3000  1.1000  2.1800
8000  2.100  8.4000  1.1900  2.2200
8250  2.1300  8.4000  1.100  2.2200
8500  2.1800  8.3000  1.1300  2.2300
8750  2.1200  8.3000  1.1300  2.2400
9000  2.1101  9.4808  1.1101  2.1001
9250  2.1101  9.4808  1.1101  2.2901
9500  2.1101  9.3808  1.2101  2.2301
9750  2.1101  9.4808  1.1101  2.301
10000  2.0101  10.2808  1.1101  2.4101
